level,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,19000,5.000,0,5,0.500,0.000,0.400,J7o,jam,-18.000000,-23.406250,40.000000,-5.406250,58.000000,0.518555,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K3o,jam,-18.000000,-23.437500,40.000000,-5.437500,58.000000,0.517578,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J4o,jam,-18.000000,-23.447917,40.000000,-5.447917,58.000000,0.517253,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,88,jam,-18.000000,-23.458333,40.000000,-5.458333,58.000000,0.516927,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A7o,jam,-18.000000,-23.552083,40.000000,-5.552083,58.000000,0.513997,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q3s,jam,-18.000000,-23.656250,40.000000,-5.656250,58.000000,0.510742,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J3s,jam,-18.000000,-23.718750,40.000000,-5.718750,58.000000,0.508789,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K6o,jam,-18.000000,-23.802083,40.000000,-5.802083,58.000000,0.506185,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q5o,jam,-18.000000,-23.822917,40.000000,-5.822917,58.000000,0.505534,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J6o,jam,-18.000000,-23.843750,40.000000,-5.843750,58.000000,0.504883,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q3o,jam,-18.000000,-23.895833,40.000000,-5.895833,58.000000,0.503255,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,A2o,jam,-18.000000,-23.958333,40.000000,-5.958333,58.000000,0.501302,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
